PaschaOffset,Date,Category,Type,English,Greek
-101,2026-01-01,Immovable,Feast,Circumcision of Our Lord Jesus Christ,Ἡ Περιτομὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
-101,2026-01-01,Immovable,Saint,Basil the Great,Βασιλείου τοῦ Μεγάλου
-101,2026-01-01,Immovable,Saint,"Gregory, bishop of Nazianzus",Γρηγορίου ἐπισκόπου Ναζιανζοῦ
-101,2026-01-01,Immovable,Note,New Year’s Day,Πρωτοχρονιά
-100,2026-01-02,Immovable,Saint,"Sylvester, pope of Rome","Σιλβέστρου, πάπα Ρώμης"
-100,2026-01-02,Immovable,Saint,Seraphim of Sarov,Σεραφείμ τοῦ Σαρὼφ
-99,2026-01-03,Immovable,Saint,Prophet Malachi,Μαλαχίου προφήτου
-99,2026-01-03,Immovable,Saint,Martyr Gordios,Γορδίου μάρτυρος
-99,2026-01-03,Immovable,Saint,Martyr Thomais,Θωμαΐδος μάρτυρος
-98,2026-01-04,Immovable,Saint,Synaxis of the 70 Apostles,Ἡ σύναξις τῶν 70 ἀποστόλων
-98,2026-01-04,Immovable,Saint,Ven. Theoctistos,Θεοκτίστου ὁσίου
-98,2026-01-04,Immovable,Saint,Ven. Nikiphoros the Leper,Νικηφόρου ὁσίου τοῦ Λεπροῦ
-97,2026-01-05,Immovable,Saint,Martyrs Theopemptos & Theonas,Θεοπέμπτου & Θεωνᾶ μαρτύρων
-97,2026-01-05,Immovable,Saint,Ven. Synclitiki,Συγκλητικῆς ὁσίας
-96,2026-01-06,Immovable,Saint,Theophany - The Baptism of Our Lord Jesus Christ,Τὰ Ἅγια Θεοφάνεια - Ἡ Βάπτισις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
-96,2026-01-06,Immovable,Note,Blessing of Waters,Ἁγιασμὸς τῶν Ὑδάτων
-95,2026-01-07,Immovable,Saint,Synaxis of the Forerunner John the Baptist,Ἡ σύναξις τοῦ Προδρόμου & Βαπτιστοῦ Ἰωάννου
-95,2026-01-07,Immovable,Saint,New Hierom. Romanos,Ρωμανοῦ νεομάρτυρος
-94,2026-01-08,Immovable,Saint,George the Chozebite,Γεωργίου τοῦ Χοζεβίτου
-94,2026-01-08,Immovable,Saint,Domnica of Constantinople,Δομνίκης ΚΠόλεως
-94,2026-01-08,Immovable,Saint,Ven. Agathon,Ἀγάθωνος ὁσίου
-93,2026-01-09,Immovable,Saint,Martyr Polyeuctos,Πολυεύκτου μάρτυρος
-93,2026-01-09,Immovable,Saint,Metropolitan Philip of Moscow,"Φιλίππου, μητροπολίτου Μόσχας"
-92,2026-01-10,Immovable,Saint,Gregory of Nyssa,Γρηγορίου Νύσσης
-92,2026-01-10,Immovable,Saint,"Dometian, bishop of Melitene","Δομετιανοῦ, ἐπ. Μελιτινῆς"
-91,2026-01-11,Immovable,Saint,Theodosios the Cenobiarch,Θεοδοσίου τοῦ Κοινοβιάρχου
-91,2026-01-11,Immovable,Saint,Theodosios of Philotheou Monastery,Θεοδοσίου τῆς Ἱ.Μ. Φιλοθέου
-90,2026-01-12,Immovable,Saint,Martyr Tatiana of Rome,Τατιανῆς μάρτυρος τῆς Ρωμαίας
-90,2026-01-12,Immovable,Saint,Theodora of Alexandria,Θεοδώρας Ἀλεξανδρείας
-89,2026-01-13,Immovable,Saint,Martyrs Hermylos & Stratonicos,Ἑρμύλου & Στρατονίκου τῶν μαρτύρων
-89,2026-01-13,Immovable,Saint,Maximos the Hut-Burner,Μαξίμου τοῦ Καυσοκαλύβου
-88,2026-01-14,Immovable,Saint,Holy Fathers slain at Sinai and Raitho,Τῶν ἐν Σινᾷ καί Ραϊθῷ ἀναιρεθέντων ὁσίων πατέρων
-88,2026-01-14,Immovable,Saint,Nina Equal-to-the-Apostles,Νίνας τῆς ἰσαποστόλου
-88,2026-01-14,Immovable,Saint,"Sabba, archbishop of Serbia","Σάββα, ἀρχιεπισκόπου Σερβίας"
-87,2026-01-15,Immovable,Saint,Paul of Thebes,Παύλου τοῦ Θηβαίου
-87,2026-01-15,Immovable,Saint,John the Hut-Dweller,Ἰωάννου τοῦ Καλυβίτου
-86,2026-01-16,Immovable,Saint,Veneration of the Precious Chains of the Apostle Peter,Προσκύνησις Τιμίας Ἁλύσεως τοῦ ἀποστόλου Πέτρου
-85,2026-01-17,Immovable,Saint,Anthony the Great,Ἀντωνίου τοῦ Μεγάλου
-85,2026-01-17,Immovable,Saint,New-martyr George of Ioannina,Γεωργίου νεομάρτυρος τοῦ ἐν Ἰωαννίνοις
-84,2026-01-18,Immovable,Saint,Patriarchs Athanasios & Cyril of Alexandria,"Ἀθανασίου & Κυρίλλου, Πατρ. Ἀλεξανδρείας"
-84,2026-01-18,Immovable,Saint,Martyr Theodula,Θεοδούλης μάρτυρος
-83,2026-01-19,Immovable,Saint,Macarios the Great of Egypt,Μακαρίου Μεγάλου τοῦ Αἰγυπτίου
-83,2026-01-19,Immovable,Saint,Mark of Ephesus,Μάρκου Ἐφέσου τοῦ Εὐγενικοῦ
-83,2026-01-19,Immovable,Saint,Macarios of Alexandria,Μακαρίου Ἀλεξανδρείας
-82,2026-01-20,Immovable,Saint,Euthymios the Great,Εὐθυμίου τοῦ Μεγάλου
-82,2026-01-20,Immovable,Saint,Leo the Emperor,Λέοντος τοῦ Βασιλέως
