Symbol,Note
PASCHA,The one and only
SATbT,Saturday before Theophany
SUNbT,Sunday before Theophany
SATaT,Saturday after Theophany
SUNaT,Sunday after Theophany
ECUM4,Holy Fathers of the 4th Ecumenical Council
SATbE,Saturday before the Elevation
SUNbE,Sunday before the Elevation
SATaE,Saturday after the Elevation
SUNaE,Sunday after the Elevation
L1,1st Sunday of Luke
L2,2nd Sunday of Luke
L3,3rd Sunday of Luke
L4,Holy Fathers of the 7th Ecumenical Council
L5,5th Sunday of Luke
L6,6th Sunday of Luke
L7,7th Sunday of Luke
L8,8th Sunday of Luke
L9,9th Sunday of Luke
L10,10th Sunday of Luke
L11,Sunday of the Holy Ancestors of Christ
L13,13th Sunday of Luke
SATbN,Saturday before Nativity
SUNbN,Sunday before Nativity
SATaN,Saturday after Nativity
SUNaN,Sunday after Nativity
L12,12th Sunday of Luke (Gap)
L14,14th Sunday of Luke (Gap)
L15,15th Sunday of Luke (Gap)
M15,15th Sunday of Matthew (Gap)
M16,16th Sunday of Matthew (Gap)
M17,17th Sunday of Matthew (Gap)
