Year,NewPaschaDate,OldPaschaDate
2000,2000-04-30,2000-04-17
2001,2001-04-15,2001-04-02
2002,2002-05-05,2002-04-22
2003,2003-04-27,2003-04-14
2004,2004-04-11,2004-03-29
2005,2005-05-01,2005-04-18
2006,2006-04-23,2006-04-10
2007,2007-04-08,2007-03-26
2008,2008-04-27,2008-04-14
2009,2009-04-19,2009-04-06
2010,2010-04-04,2010-03-22
2011,2011-04-24,2011-04-11
2012,2012-04-15,2012-04-02
2013,2013-05-05,2013-04-22
2014,2014-04-20,2014-04-07
2015,2015-04-12,2015-03-30
2016,2016-05-01,2016-04-18
2017,2017-04-16,2017-04-03
2018,2018-04-08,2018-03-26
2019,2019-04-28,2019-04-15
2020,2020-04-19,2020-04-06
2021,2021-05-02,2021-04-19
2022,2022-04-24,2022-04-11
2023,2023-04-16,2023-04-03
2024,2024-05-05,2024-04-22
2025,2025-04-20,2025-04-07
2026,2026-04-12,2026-03-30
2027,2027-05-02,2027-04-19
2028,2028-04-16,2028-04-03
2029,2029-04-08,2029-03-26
2030,2030-04-28,2030-04-15
2031,2031-04-13,2031-03-31
2032,2032-05-02,2032-04-19
2033,2033-04-24,2033-04-11
2034,2034-04-09,2034-03-27
2035,2035-04-29,2035-04-16
2036,2036-04-20,2036-04-07
2037,2037-04-05,2037-03-23
2038,2038-04-25,2038-04-12
2039,2039-04-17,2039-04-04
2040,2040-05-06,2040-04-23
2041,2041-04-21,2041-04-08
2042,2042-04-13,2042-03-31
2043,2043-05-03,2043-04-20
2044,2044-04-24,2044-04-11
2045,2045-04-09,2045-03-27
2046,2046-04-29,2046-04-16
2047,2047-04-21,2047-04-08
2048,2048-04-05,2048-03-23
2049,2049-04-25,2049-04-12
2050,2050-04-17,2050-04-04
