Date,Type,Book,Verse,Note
01/01,EPISTLE,Colossians,2:8-12,Circumsion of our Lord
01/01,GOSPEL,Luke,"2:20-21, 40-52",
01/05,EPISTLE,1 Corinthians,9:19-27,Eve of Theophany
01/05,GOSPEL,Luke,3:1-18,
01/06,EPISTLE,Titus,"2:11-14, 3:4-7",Theophany
01/06,GOSPEL,Matthew,3:13-17,
01/07,EPISTLE,Acts,19:1-8,Synaxis of St. John the Baptist
01/07,GOSPEL,John,1:29-34,
01/08,GOSPEL,John,3:22-33,Afterfeast of Theophany
01/09,GOSPEL,Mark,1:9-15,Afterfeast of Theophany
01/10,GOSPEL,Luke,3:19-22,Afterfeast of Theophany
01/11,GOSPEL,Luke,3:1-15,Afterfeast of Theophany
01/12,GOSPEL,John,10:39-42,Afterfeast of Theophany
01/13,GOSPEL,Luke,20:1-8,Afterfeast of Theophany
01/11,EPISTLE,Hebrews,13:7-16,Theodosios Kinoviarchis
01/11,GOSPEL,Matthew,11:27-30,
01/17,EPISTLE,Hebrews,13:17-21,St. Anthony's
01/17,GOSPEL,Luke,6:17-23,
01/18,EPISTLE,Hebrews,13:7-16,Patriarchs Athanasios & Cyril of Alexandria
01/18,GOSPEL,Matthew,5:14-19,
01/20,EPISTLE,2 Corinthians,4:6-15,St. Euthymios the Great
01/20,GOSPEL,Luke,6:17-23,
01/25,EPISTLE,Hebrews,7:26-8:2,St. Gregory the Theologian
01/25,GOSPEL,John,10:9-16,
01/28,EPISTLE,Galatians,5:22-6:2,St. Ephraim and St Isaac
01/28,GOSPEL,Luke,6:17-23,
01/30,EPISTLE,Hebrew,13:7-16,3 Hierarchs
01/30,GOSPEL,Matthew,5:14-19,
02/02,EPISTLE,Hebrews,7:7-17,Meeting of Our Lord
02/02,GOSPEL,Luke,2:22-40,
02/10,EPISTLE,2 Timothy,2:1-10,St. Haralambos
02/10,GOSPEL,John,15:17-16:2,
02/24,EPISTLE,2 Corinthians,4:6-15,1st & 2nd findings of the Precious Head of St. John the Baptist
02/24,GOSPEL,Matthew,11:2-15,
03/09,EPISTLE,Hebrews,12:1-10,40 Martyrs of Sebaste
03/09,GOSPEL,Matthew,20:1-16,
03/25,EPISTLE,Hebrews,2:11-18,Annunciation of the Theotokos
03/25,GOSPEL,Luke,1:24-38,
04/23,EPISTLE,Acts,12:1-11,St. George
04/23,GOSPEL,John,15:17-16:2,
04/25,EPISTLE,1 Peter,5:6-14,Apostle Mark
04/25,GOSPEL,Luke,10:16-21,
05/08,EPISTLE,1 John,1:1-7,St. John the Theologian
05/08,GOSPEL,John,"19:25-27, 21:24-25",
05/21,EPISTLE,Act,"26:1,12-20",St. Constantine and Helen
05/21,GOSPEL,John,10-1:9,
05/25,EPISTLE,2 Corinthians,4:6-15,3rd Finding of the Precious Head of St. John the Baptist
05/25,GOSPEL,Matthew,11:2-15,
06/24,EPISTLE,Romans,"13:11-14, 14:1-4",Nativity of St. John the Baptist
06/24,GOSPEL,Luke,"1:1-25, 57-68, 76, 80",
06/29,EPISTLE,2 Corinthians,11:21-12:9,Ap. Peter and Paul
06/29,GOSPEL,Matthew,16:13-19,
06/30,EPISTLE,1 Corinthians,4:9-16,Sinaxis of the 12 Ap.
06/30,GOSPEL,Matthew,9:36-10:8,
07/05,EPISTLE,Galatians,5:22-6:2,Athanasios of Athos
07/05,GOSPEL,Luke,6:17-23,
07/20,EPISTLE,James,5:10-20,Proph. Elijah
07/20,GOSPEL,Luke,4:22-30,
07/25,EPISTLE,Galatians,4:22-27,"Dormition of St. Anna, mother of the Theotokos"
07/25,GOSPEL,Luke,8:16-21,
07/27,EPISTLE,2 Timothy,2:1-10,St. Panteleimon
07/27,GOSPEL,Luke,21:12-19,
08/01,EPISTLE,Hebrews,4:14-5:6,Procession of the Cross
08/01,GOSPEL,Mark,8:34-9:1,
08/06,EPISTLE,2 Peter,1:10-19,Transfiguration of our Lord
08/06,GOSPEL,Matthew,17:1-9,
08/07,GOSPEL,Mark,9:2-9,Afterfeast of Transfiguration of our Lord
08/15,EPISTLE,Philippians,2:5-11,Dormition of the Theotokos
08/15,GOSPEL,Luke,"10:38-42, 11:27-28",
08/24,EPISTLE,2 Timothy,1:8-18,St. Kosmas
08/24,GOSPEL,Matthew,"10:1, 5-8",
08/29,EPISTLE,Acts,13:25-33,Beheading of St. John the Baptist
08/29,GOSPEL,Mark,6:14-30,
08/31,EPISTLE,Hebrews,9:1-7,Placing of Sash of the Theotokos
08/31,GOSPEL,Luke,"10:38-42, 11:27-28",
09/01,EPISTLE,1 Timothy,2:1-7,Beginning of the Ecclesiastical Year
09/01,GOSPEL,Luke,4:16-22,
09/08,EPISTLE,Philippians,2:5-11,Nativity of the Theotokos
09/08,GOSPEL,Luke,"10:38-42, 11:27-28",
09/10,GOSPEL,John,3:16-21,Forefeast of the Exaltation of the Cross
09/11,GOSPEL,John,12:19-36,Forefeast of the Exaltation of the Cross
09/12,GOSPEL,John,11:47-54,Forefeast of the Exaltation of the Cross
09/13,GOSPEL,John,12:25-36,Forefeast of the Exaltation of the Cross
09/14,EPISTLE,1 Corinthians,1:18-24,Elevation of the Cross
09/14,GOSPEL,John,"19:6-11, 13-20, 25-28, 30-35",
09/23,EPISTLE,Galatians,4:22-31,Concetion of St. John the Baptist
09/23,GOSPEL,Luke,1:5-25,
09/26,EPISTLE,1 John,4:12-19,St. John Theologian
09/26,GOSPEL,John,"19:25-27, 21:24-25",
10/01,EPISTLE,Hebrews,9:1-7,Holy Protection of the Mother of God
10/01,GOSPEL,Luke,10:38-42; 11:27-28,
10/18,EPISTLE,Colossians,"4:5-11, 14-18",Apostle Luke
10/18,GOSPEL,Luke,10:16-21,
10/20,EPISTLE,2 Timothy,2:1-10,St. Artemios
10/20,GOSPEL,John,15:17-16:2,
10/26,EPISTLE,2 Timothy,2:1-10,St. Demetrios
10/26,GOSPEL,John,15:17-16:2,
11/08,EPISTLE,Hebrews,2:2-10,Synaxis of the Holy Archangels Michael and Gabriel and all the Bodiless Powers
11/08,GOSPEL,Luke,10:16-21,
11/09,EPISTLE,Ephesians,5:8-19,"Nektarios, bishop of Pentapolis"
11/09,GOSPEL,John,10:9-16,
11/13,EPISTLE,Hebrews,7:26-8:2,St. John Chrysostom
11/13,GOSPEL,John,10:9-16,
11/16,EPISTLE,1 Corinthians,4:9-16,Apostle Matthew
11/16,GOSPEL,Matthew,9:9-13,
11/21,EPISTLE,Hebrews,9:1-7,Entry into the Temple
11/21,GOSPEL,Luke,"10:38-42, 11:27-28",
11/25,EPISTLE,Galatians,3:23-4:5,St. Catherine
11/25,GOSPEL,Mark,5:24-34,
11/30,EPISTLE,1 Corinthians,4:9-16,Apostle Andrew
11/30,GOSPEL,John,1:35-51,
12/05,EPISTLE,Galatians,5:22-6:2,St. Savva the Santified
12/05,GOSPEL,Matthew,11:27-30,
12/06,EPISTLE,Hebrews,13:17-21,St. Nicholas
12/06,GOSPEL,Luke,6:17-23,
12/09,EPISTLE,Galatians,4:22-27,Conception by St. Anna of the Theotokos
12/09,GOSPEL,Luke,8:16-21,
12/12,EPISTLE,Ephesians,5:8-19,St. Spiridon
12/12,GOSPEL,John,10:9-16,
12/17,EPISTLE,Hebrews,11:33-12:2,St. Daniel the Propher and the three Youths
12/17,GOSPEL,Luke,11:47-12:1,
12/24,EPISTLE,Hebrews,1:1-12,Eve of Nativity of Christ (Vesperal Liturgy of St. Basil)
12/24,GOSPEL,Luke,2:1-20,
12/25,EPISTLE,Galatians,4:4-7,Nativity of Christ
12/25,GOSPEL,Matthew,2:1-12,
12/26,EPISTLE,Hebrews,2:11-18,Synaxis of the Theotokos
12/26,GOSPEL,Matthew,2:13-23,
12/27,EPISTLE,Acts,"6:8-15, 7:1-5, 47-60",Archdeacon Stephen
12/27,GOSPEL,Matthew,21:33-42,
