Reference,Offset,Type,Book,Verse,Note
PASCHA,-118,EPISTLE,1 Corinthians,15:12-19,Gap week 0
PASCHA,-118,GOSPEL,Matthew,21:18-22,Gap week 0
PASCHA,-117,EPISTLE,1 Corinthians,15:29-38,Gap week 0
PASCHA,-117,GOSPEL,Matthew,21:23-27,Gap week 0
PASCHA,-116,EPISTLE,1 Corinthians,16:4-12,Gap week 0
PASCHA,-116,GOSPEL,Matthew,21:28-32,Gap week 0
PASCHA,-115,EPISTLE,2 Corinthians,1:1-7,Gap week 0
PASCHA,-115,GOSPEL,Matthew,21:43-46,Gap week 0
PASCHA,-114,EPISTLE,2 Corinthians,1:12-20,Gap week 0
PASCHA,-114,GOSPEL,Matthew,22:23-33,Gap week 0
PASCHA,-113,EPISTLE,Romans,15:30-33,Gap week 0
PASCHA,-113,GOSPEL,Matthew,17:24-18:4,Gap week 0
PASCHA,-111,EPISTLE,2 Corinthians,2:3-15,Gap week 1
PASCHA,-111,GOSPEL,Matthew,23:13-22,Gap week 1
PASCHA,-110,EPISTLE,2 Corinthians,2:14-3:3,Gap week 1
PASCHA,-110,GOSPEL,Matthew,23:23-28,Gap week 1
PASCHA,-109,EPISTLE,2 Corinthians,3:4-11,Gap week 1
PASCHA,-109,GOSPEL,Matthew,23:29-39,Gap week 1
PASCHA,-108,EPISTLE,2 Corinthians,4:1-12,Gap week 1
PASCHA,-108,GOSPEL,Matthew,24:13-28,Gap week 1
PASCHA,-107,EPISTLE,2 Corinthians,4:13-18,Gap week 1
PASCHA,-107,GOSPEL,Matthew,"24:27-33, 42-51",Gap week 1
PASCHA,-106,EPISTLE,1 Corinthians,1:3-9,Gap week 1
PASCHA,-106,GOSPEL,Matthew,19:3-12,Gap week 1
PASCHA,-104,EPISTLE,2 Corinthians,5:10-15,Gap week 2
PASCHA,-104,GOSPEL,Mark,1:9-15,Gap week 2
PASCHA,-103,EPISTLE,2 Corinthians,5:15-21,Gap week 2
PASCHA,-103,GOSPEL,Mark,1:16-22,Gap week 2
PASCHA,-102,EPISTLE,2 Corinthians,6:11-16,Gap week 2
PASCHA,-102,GOSPEL,Mark,1:23-28,Gap week 2
PASCHA,-101,EPISTLE,2 Corinthians,7:1-10,Gap week 2
PASCHA,-101,GOSPEL,Mark,1:29-35,Gap week 2
PASCHA,-100,EPISTLE,2 Corinthians,7:10-16,Gap week 2
PASCHA,-100,GOSPEL,Mark,2:18-22,Gap week 2
PASCHA,-99,EPISTLE,1 Corinthians,1:26-2:5,Gap week 2
PASCHA,-99,GOSPEL,Matthew,20:29-34,Gap week 2
PASCHA,-97,EPISTLE,2 Corinthians,8:7-15,Gap week 3
PASCHA,-97,GOSPEL,Mark,3:6-12,Gap week 3
PASCHA,-96,EPISTLE,2 Corinthians,8:16-9:5,Gap week 3
PASCHA,-96,GOSPEL,Mark,3:13-21,Gap week 3
PASCHA,-95,EPISTLE,2 Corinthians,9:12-10:7,Gap week 3
PASCHA,-95,GOSPEL,Mark,3:20-27,Gap week 3
PASCHA,-94,EPISTLE,2 Corinthians,10:7-18,Gap week 3
PASCHA,-94,GOSPEL,Mark,3:28-35,Gap week 3
PASCHA,-93,EPISTLE,2 Corinthians,11:5-21,Gap week 3
PASCHA,-93,GOSPEL,Mark,4:1-9,Gap week 3
PASCHA,-92,EPISTLE,1 Corinthians,2:6-9,Gap week 3
PASCHA,-92,GOSPEL,Matthew,22:15-22,Gap week 3
PASCHA,-90,EPISTLE,2 Corinthians,12:10-19,Gap week 4
PASCHA,-90,GOSPEL,Mark,4:10-23,Gap week 4
PASCHA,-89,EPISTLE,2 Corinthians,12:20-13:2,Gap week 4
PASCHA,-89,GOSPEL,Mark,4:24-34,Gap week 4
PASCHA,-88,EPISTLE,2 Corinthians,13:3-13,Gap week 4
PASCHA,-88,GOSPEL,Mark,4:35-41,Gap week 4
PASCHA,-87,EPISTLE,Galatians,"1:1-3, 20-2:5",Gap week 4
PASCHA,-87,GOSPEL,Mark,5:1-20,Gap week 4
PASCHA,-86,EPISTLE,Galatians,2:6-10,Gap week 4
PASCHA,-86,GOSPEL,Mark,"5:22-24, 35-6:1",Gap week 4
PASCHA,-85,EPISTLE,1 Corinthians,4:1-5,Gap week 4
PASCHA,-85,GOSPEL,Matthew,23:1-12,Gap week 4
PASCHA,-83,EPISTLE,Galatians,2:11-16,Gap week 5
PASCHA,-83,GOSPEL,Mark,5:24-34,Gap week 5
PASCHA,-82,EPISTLE,Galatians,2:21-3:7,Gap week 5
PASCHA,-82,GOSPEL,Mark,6:1-7,Gap week 5
PASCHA,-81,EPISTLE,Galatians,3:15-22,Gap week 5
PASCHA,-81,GOSPEL,Mark,6:7-13,Gap week 5
PASCHA,-80,EPISTLE,Galatians,3:23-4:5,Gap week 5
PASCHA,-80,GOSPEL,Mark,6:30-45,Gap week 5
PASCHA,-79,EPISTLE,Galatians,4:8-21,Gap week 5
PASCHA,-79,GOSPEL,Mark,6:45-53,Gap week 5
PASCHA,-78,EPISTLE,1 Corinthians,4:17-5:5,Gap week 5
PASCHA,-78,GOSPEL,Matthew,24:1-13,Gap week 5
PASCHA,-76,EPISTLE,Galatians,4:28-5:10,Gap week 6
PASCHA,-76,GOSPEL,Mark,6:54-7:8,Gap week 6
PASCHA,-75,EPISTLE,Galatians,5:11-21,Gap week 6
PASCHA,-75,GOSPEL,Mark,7:5-16,Gap week 6
PASCHA,-74,EPISTLE,Galatians,6:2-10,Gap week 6
PASCHA,-74,GOSPEL,Mark,7:14-24,Gap week 6
PASCHA,-73,EPISTLE,Ephesians,1:1-9,Gap week 6
PASCHA,-73,GOSPEL,Mark,7:24-30,Gap week 6
PASCHA,-72,EPISTLE,Ephesians,1:7-17,Gap week 6
PASCHA,-72,GOSPEL,Mark,8:1-10,Gap week 6
PASCHA,-71,EPISTLE,1 Corinthians,10:23-28,Gap week 6
PASCHA,-71,GOSPEL,Matthew,"24:34-37, 42-44",Gap week 6
PASCHA,-70,EPISTLE,2 Timothy,3:10-15,Publican and the Pharisee
PASCHA,-70,GOSPEL,Luke,18:10-14,
PASCHA,-69,EPISTLE,Hebrews,7:7-17,
PASCHA,-69,GOSPEL,Luke,2:22-40,
