Date,Type,English,Greek
01-01,Feast,Circumcision of Our Lord Jesus Christ,Ἡ Περιτομὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
01-01,Saint,Basil the Great,Βασιλείου τοῦ Μεγάλου
01-01,Saint,"Gregory, bishop of Nazianzus",Γρηγορίου ἐπισκόπου Ναζιανζοῦ
01-01,Note,New Year’s Day,Πρωτοχρονιά
01-02,Saint,"Sylvester, pope of Rome","Σιλβέστρου, πάπα Ρώμης"
01-02,Saint,Seraphim of Sarov,Σεραφείμ τοῦ Σαρὼφ
01-03,Saint,Prophet Malachi,Μαλαχίου προφήτου
01-03,Saint,Martyr Gordios,Γορδίου μάρτυρος
01-03,Saint,Martyr Thomais,Θωμαΐδος μάρτυρος
01-04,Saint,Synaxis of the 70 Apostles,Ἡ σύναξις τῶν 70 ἀποστόλων
01-04,Saint,Ven. Theoktistos,Θεοκτίστου ὁσίου
01-04,Saint,Ven. Nikiphoros the Leper,Νικηφόρου ὁσίου τοῦ Λεπροῦ
01-05,Saint,Martyrs Theopemptos & Theonas,Θεοπέμπτου & Θεωνᾶ μαρτύρων
01-05,Saint,Ven. Synclitiki,Συγκλητικῆς ὁσίας
01-06,Feast,Theophany - The Baptism of Our Lord Jesus Christ,Τὰ Ἅγια Θεοφάνεια - Ἡ Βάπτισις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
01-06,Note,Blessing of Waters,Ἁγιασμὸς τῶν Ὑδάτων
01-07,Saint,Synaxis of the Forerunner John the Baptist,Ἡ σύναξις τοῦ Προδρόμου & Βαπτιστοῦ Ἰωάννου
01-07,Saint,New Hierom. Romanos,Ρωμανοῦ νεομάρτυρος
01-08,Saint,George the Chozebite,Γεωργίου τοῦ Χοζεβίτου
01-08,Saint,Domnica of Constantinople,Δομνίκης ΚΠόλεως
01-08,Saint,Ven. Agathon,Ἀγάθωνος ὁσίου
01-09,Saint,Martyr Polyeuktos,Πολυεύκτου μάρτυρος
01-09,Saint,Metropolitan Philip of Moscow,"Φιλίππου, μητροπολίτου Μόσχας"
01-10,Saint,Gregory of Nyssa,Γρηγορίου Νύσσης
01-10,Saint,"Dometian, bishop of Melitene","Δομετιανοῦ, ἐπ. Μελιτινῆς"
01-11,Saint,Theodosios the Cenobiarch,Θεοδοσίου τοῦ Κοινοβιάρχου
01-11,Saint,Theodosios of Philotheou Monastery,Θεοδοσίου τῆς Ἱ.Μ. Φιλοθέου
01-12,Saint,Martyr Tatiana of Rome,Τατιανῆς μάρτυρος τῆς Ρωμαίας
01-12,Saint,Theodora of Alexandria,Θεοδώρας Ἀλεξανδρείας
01-13,Saint,Martyrs Hermylos & Stratonicos,Ἑρμύλου & Στρατονίκου τῶν μαρτύρων
01-13,Saint,Maximos the Hut-Burner,Μαξίμου τοῦ Καυσοκαλύβου
01-14,Saint,Holy Fathers slain at Sinai and Raitho,Τῶν ἐν Σινᾷ καί Ραϊθῷ ἀναιρεθέντων ὁσίων πατέρων
01-14,Saint,Nina Equal-to-the-Apostles,Νίνας τῆς ἰσαποστόλου
01-14,Saint,"Savva, archbishop of Serbia","Σάββα, ἀρχιεπισκόπου Σερβίας"
01-15,Saint,Paul of Thebes,Παύλου τοῦ Θηβαίου
01-15,Saint,John the Hut-Dweller,Ἰωάννου τοῦ Καλυβίτου
01-16,Saint,Veneration of the Precious Chains of the Apostle Peter,Προσκύνησις Τιμίας Ἁλύσεως τοῦ ἀποστόλου Πέτρου
01-17,Saint,Anthony the Great,Ἀντωνίου τοῦ Μεγάλου
01-17,Saint,New-martyr George of Ioannina,Γεωργίου νεομάρτυρος τοῦ ἐν Ἰωαννίνοις
01-18,Saint,Patriarchs Athanasios & Cyril of Alexandria,"Ἀθανασίου & Κυρίλλου, Πατρ. Ἀλεξανδρείας"
01-18,Saint,Martyr Theodoula,Θεοδούλης μάρτυρος
01-19,Saint,Macarios the Great of Egypt,Μακαρίου Μεγάλου τοῦ Αἰγυπτίου
01-19,Saint,Mark of Ephesus,Μάρκου Ἐφέσου τοῦ Εὐγενικοῦ
01-19,Saint,Macarios of Alexandria,Μακαρίου Ἀλεξανδρείας
01-20,Saint,Euthymios the Great,Εὐθυμίου τοῦ Μεγάλου
01-20,Saint,Leo the Emperor,Λέοντος τοῦ Βασιλέως
01-21,Saint,Maximos the Confessor,Μαξίμου τοῦ ὁμολογητοῦ
01-21,Saint,Martyrs Neophytos & Agne,Νεοφύτου & Ἁγνῆς μαρτύρων
01-21,Saint,Maximos the Greek,Μαξίμου τοῦ Γραικοῦ
01-22,Saint,Ap. Timothy of the 70,Τιμοθέου ἀποστόλου ἐκ τῶν 70
