Reference,Offset,Type,English,Greek
PASCHA,-70,Feast,Sunday of Publican & Pharisee (Triodion Begins),Τελώνου & Φαρισαίου (Ἀρχὴ Τριωδίου)
PASCHA,-63,Feast,Sunday of the Prodigal Son,Τοῦ Ἀσώτου
PASCHA,-57,Note,Soul Saturday,Ψυχοσάββατον
PASCHA,-56,Feast,Meat-fare (Judgment) Sunday,Τῆς Ἀπόκρεω
PASCHA,-53,Note,No Liturgy,Ἄνευ Λειτουργίας
PASCHA,-51,Note,No Liturgy,Ἄνευ Λειτουργίας
PASCHA,-50,Saint,Holy Fathers shone forth in ascetic life,Τῶν ἐν ἀσκήσει διαλαμψάντων ὁσίων
PASCHA,-49,Feast,Cheese-fare (Forgiveness) Sunday,Τῆς Τυρινῆς
PASCHA,-48,Note,Beginning of Lent,Ἀρχὴ νηστείας
PASCHA,-48,Note,Clean Monday,Καθαρὰ Δευτέρα
PASCHA,-44,Note,1st Salutations,Α΄ Χαιρετισμοί
PASCHA,-43,Saint,The miracle of kollyva by St. Theodore the Recruit (Tyro),Τοῦ διὰ κολλύβων θαύματος ἁγ. Θεοδώρου τοῦ Τήρωνος
PASCHA,-42,Feast,1st Sunday of Lent – of Orthodoxy,Α΄ Νηστειῶν – Τῆς Ὀρθοδοξίας
PASCHA,-37,Note,2nd Salutations,Β΄ Χαιρετισμοί
PASCHA,-36,Note,Soul Saturday,Ψυχοσάββατον
PASCHA,-35,Feast,2nd Sunday of Lent – of St. Gregory Palamas,Β΄ Νηστειῶν – Ἁγ. Γρηγορίου τοῦ Παλαμᾶ
PASCHA,-30,Note,3rd Salutations,Γ΄ Χαιρετισμοί
PASCHA,-30,Note,3rd Salutations,Γ΄ Χαιρετισμοί
PASCHA,-29,Note,Soul Saturday,Ψυχοσάββατον
PASCHA,-28,Feast,3rd Sunday of Lent – Veneration of the Holy Cross,Γ΄ Νηστειῶν – Τῆς Σταυροπροσκυνήσεως
PASCHA,-23,Note,4th Salutations,Δ΄ Χαιρετισμοί
PASCHA,-22,Note,Soul Saturday,Ψυχοσάββατον
PASCHA,-21,Feast,4th Sunday of Lent – of St. John of the Ladder,Δ΄ Νηστειῶν – Ἁγ. Ἰωάννου τῆς Κλίμακος
PASCHA,-17,Note,Great Canon,Ὁ Μέγας Κανών
PASCHA,-15,Feast,Akathist Hymn,Τοῦ Ἀκαθίστου Ὕμνου
PASCHA,-14,Feast,5th Sunday of Lent–of St. Mary of Egypt,Ε΄ Νηστειῶν–Μαρίας τῆς Αἰγυπτίας
PASCHA,-8,Feast,Lazarus Saturday,Τοῦ Λαζάρου
PASCHA,-7,Feast,Palm Sunday,Τῶν Βαΐων
PASCHA,-6,Feast,Holy Monday - Righteous Joseph,Μεγάλη Δευτέρα - Ἰωσὴφ τοῦ Παγκάλου
PASCHA,-5,Feast,Holy Tuesday - Ten Virgins,Μεγάλη Τρίτη - Τῶν Δέκα Παρθένων
PASCHA,-4,Feast,Holy Wednesday - Anointing of the Lord,Μεγάλη Τετάρτη - Τῆς ἀλειψάσης τὸν Κύριον
PASCHA,-3,Feast,Holy Thursday - Mystical Supper,Μεγάλη Πέμπτη - Ὁ Μυστικὸς Δεῖπνος
PASCHA,-2,Feast,Holy Friday - Holy Passion,Μεγάλη Παρασκευή - Τὰ Ἅγια Πάθη
PASCHA,-1,Feast,Holy Saturday - Christ’s Descent into Hades,Μέγα Σάββατον - Ἡ εἰς Ἅδου Κάθοδος τοῦ Κυρίου
PASCHA,0,Feast,Holy Pascha - The Resurrection of Christ,Τὸ Ἅγιον Πάσχα - Ἡ Ἀνάστασις τοῦ Κυρίου
PASCHA,1,Feast,Bright Week,Διακαινησίμου
PASCHA,2,Saint,"Martyrs Raphael, Nicholas & Irene of Lesbos","Ραφαήλ, Νικολάου & Εἰρήνης, νεοφανῶν μαρτύρων τῆς Λέσβου"
PASCHA,5,Feast,The Life-Giving Spring,Τῆς Ζωοδόχου Πηγῆς
PASCHA,7,Feast,Thomas Sunday,Τοῦ Θωμᾶ
PASCHA,14,Feast,Sunday of the Myrrh-bearers,Τῶν Μυροφόρων
PASCHA,21,Feast,Sunday of the Paralytic,Τοῦ Παραλύτου
PASCHA,24,Feast,Mid-Pentecost,Μεσοπεντηκοστή
PASCHA,28,Feast,Sunday of the Samaritan Woman,Τῆς Σαμαρείτιδος
PASCHA,35,Feast,Sunday of the Blind Man,Τοῦ Τυφλοῦ
PASCHA,38,Feast,Leave-Taking of Pascha,Ἡ Ἀπόδοσις τοῦ Πάσχα
PASCHA,39,Feast,Ascension of Our Lord,Ἡ Ἀνάληψις τοῦ Κυρίου
PASCHA,42,Feast,Fathers of the 1st Ecumenical Council,Τῶν ἁγίων Πατέρων τῆς  Α΄ Οἰκουμ. Συνόδου
PASCHA,48,Note,Soul Saturday,Ψυχοσάββατον
PASCHA,49,Feast,Pentecost,Πεντηκοστή
PASCHA,50,Feast,Day of the Holy Spirit,Τοῦ Ἁγίου Πνεύματος
PASCHA,56,Feast,All Saints,Τῶν Ἁγίων Πάντων
PASCHA,57,Note,Apostles’ Fast Begins,Ἀρχὴ νηστείας τῶν ἀποστόλων
PASCHA,63,Feast,Athonite Fathers,Τῶν Ἁγιορειτῶν  Πατέρων·
PASCHA,63,Feast,All Saints of N. America,Τῶν Ἁγίων τῆς Βορείου Ἀμερικῆς
PASCHA,70,Feast,New Martyrs,Τῶν Ἁγίων Νεομαρτύρων
PASCHA,77,Feast,4th Sunday of Matthew,Δ΄ Ματθαίου
PASCHA,84,Feast,5th Sunday of Matthew,Ε΄ Ματθαίου
PASCHA,91,Feast,6th Sunday of Matthew,ΣΤ΄ Ματθαίου
PASCHA,98,Feast,7th Sunday of Matthew ,Z΄ Ματθαίου
PASCHA,105,Feast,8th Sunday of Matthew,Η΄ Ματθαίου
PASCHA,112,Feast,9th Sunday of Matthew,Θ΄ Ματθαίου
PASCHA,119,Feast,10th Sunday of Matthew,I΄ Ματθαίου
PASCHA,126,Feast,11th Sunday of Matthew,IA΄ Ματθαίου
PASCHA,133,Feast,12th Sunday of Matthew,IB΄ Ματθαίου
PASCHA,140,Feast,13th Sunday of Matthew,ΙΓ΄ Ματθαίου
PASCHA,147,Feast,14th Sunday of Matthew,IΔ΄ Ματθαίου
PASCHA,154,Feast,15th Sunday of Matthew,ΙE΄ Ματθαίου
ECUM4,0,Feast,Holy Fathers of 4th Ecumenical Council,Τῶν ἁγ. Πατέρων τῆς Δ΄ Οἰκ. Συνόδου
SUNbE,0,Feast,Sunday before the Elevation,Πρὸ τῆς Ὑψώσεως
SUNaE,0,Feast,Sunday after the Elevation,Μετὰ τὴν Ὕψωσιν
L1,0,Feast,1st Sunday of Luke,Α΄ Λουκᾶ
L2,0,Feast,2nd Sunday of Luke,Β΄ Λουκᾶ
L4,0,Feast,Holy Fathers of the 7th Ecumenical Council,Τῶν ἁγ. Πατέρων τῆς Ζ΄ Οἰκουμενικῆς Συνόδου
L3,0,Feast,3rd Sunday of Luke,Γ΄ Λουκᾶ
L6,0,Feast,6th Sunday of Luke,ΣΤ΄ Λουκᾶ
L5,0,Feast,5th Sunday of Luke,E΄ Λουκᾶ
L7,0,Feast,7th Sunday of Luke,Ζ΄ Λουκᾶ
L8,0,Feast,8th Sunday of Luke,H΄ Λουκᾶ
L9,0,Feast,9th Sunday of Luke,Θ΄ Λουκᾶ
L13,0,Feast,13th Sunday of Luke,IΓ΄ Λουκᾶ
L10,0,Feast,10th Sunday of Luke,I΄ Λουκᾶ
L11,0,Feast,Sunday of the Holy Ancestors of Christ,Τῶν Ἁγίων Προπατόρων
SUNbN,0,Feast,Sunday before Nativity,Πρὸ Χριστοῦ Γεννήσεως
SUNaN,0,Feast,Sunday after Nativity,Μετὰ τὴν Χριστοῦ Γέννησιν
SUNbT,0,Feast,Sunday before Theophany,Πρὸ τῶν Φώτων
SUNaT,0,Feast,Sunday after Theophany,Μετὰ τὰ Φῶτα
L12,0,Feast,12th Sunday of Luke,IΒ΄ Λουκᾶ
L14,0,Feast,14th Sunday of Luke,IΔ΄ Λουκᾶ
M15,0,Feast,15th Sunday of Matthew,ΙE΄ Ματθαίου
M16,0,Feast,16th Sunday of Matthew ,ΙΣΤ΄ Ματθαίου
L15,0,Feast,15th Sunday of Luke,IΕ΄ Λουκᾶ
M17,0,Feast,17th Sunday of Matthew ,ΙΖ΄ Ματθαίου
