PaschaOffset,Category,Type,English,Greek
-84,Movable,Feast,12th Sunday of Luke,ΙΒ΄ Λουκᾶ
-77,Movable,Feast,15th Sunday of Luke,ΙΕ΄ Λουκᾶ
-70,Movable,Feast,Sunday of Publican & Pharisee (Triodion Begins),Τελώνου & Φαρισαίου (Ἀρχὴ Τριωδίου)
-63,Movable,Feast,Sunday of the Prodigal Son,Τοῦ Ἀσώτου
-57,Movable,Note,Soul Saturday,Ψυχοσάββατον
-56,Movable,Feast,Meat-fare (Judgment) Sunday,Τῆς Ἀπόκρεω
-53,Movable,Note,No Liturgy,Ἄνευ Λειτουργίας
-51,Movable,Note,No Liturgy,Ἄνευ Λειτουργίας
-50,Movable,Saint,Holy Fathers shone forth in ascetic life,Τῶν ἐν ἀσκήσει διαλαμψάντων ὁσίων
-49,Movable,Feast,Cheese-fare (Forgiveness) Sunday,Τῆς Τυρινῆς
-48,Movable,Note,Beginning of Lent,Ἀρχὴ νηστείας
-48,Movable,Note,Clean Monday,Καθαρὰ Δευτέρα
-44,Movable,Note,1st Salutations,Α΄ Χαιρετισμοί
-43,Movable,Saint,The miracle of kollyva by St. Theodore the Recruit (Tyro),Τοῦ διὰ κολλύβων θαύματος ἁγ. Θεοδώρου τοῦ Τήρωνος
-42,Movable,Feast,1st Sunday of Lent – of Orthodoxy,Α΄ Νηστειῶν – Τῆς Ὀρθοδοξίας
-37,Movable,Note,2nd Salutations,Β΄ Χαιρετισμοί
-36,Movable,Note,Soul Saturday,Ψυχοσάββατον
-35,Movable,Feast,2nd Sunday of Lent – of St. Gregory Palamas,Β΄ Νηστειῶν – Ἁγ. Γρηγορίου τοῦ Παλαμᾶ
-29,Movable,Note,Soul Saturday,Ψυχοσάββατον
-28,Movable,Feast,3rd Sunday of Lent – Veneration of the Holy Cross,Γ΄ Νηστειῶν – Τῆς Σταυροπροσκυνήσεως
-23,Movable,Note,4th Salutations,Δ΄ Χαιρετισμοί
-22,Movable,Note,Soul Saturday,Ψυχοσάββατον
-21,Movable,Feast,4th Sunday of Lent – of St. John of the Ladder,Δ΄ Νηστειῶν – Ἁγ. Ἰωάννου τῆς Κλίμακος
-17,Movable,Note,Great Canon,Ὁ Μέγας Κανών
-15,Movable,Feast,Akathist Hymn,Τοῦ Ἀκαθίστου Ὕμνου
-14,Movable,Feast,5th Sunday of Lent–of St. Mary of Egypt,Ε΄ Νηστειῶν–Μαρίας τῆς Αἰγυπτίας
