Category,Type,English,Greek
DRS,Feast,Sunday before Theophany,Πρὸ τῶν Φώτων
Special,Note,Royal Hours,Μεγάλαι Ὧραι
Special,Note,Liturgy of St. Basil,Λειτουργία Μεγ. Βασιλείου
DRS,Feast,Sunday after Theophany,Μετὰ τὰ Φῶτα
Special,Note,Daylight Savings Time begins. Turn clocks forward 1 hour,
Special,Feast,Holy Fathers of 4th Ecumenical Council,Τῶν ἁγ. Πατέρων τῆς Δ΄ Οἰκ. Συνόδου
DRS,Feast,Sunday before the Elevation,Πρὸ τῆς Ὑψώσεως
DRS,Feast,Sunday after the Elevation,Μετὰ τὴν Ὕψωσιν
DRS,Feast,1st Sunday of Luke,Α΄ Λουκᾶ
DRS,Feast,2nd Sunday of Luke,Β΄ Λουκᾶ
DRS,Feast,Holy Fathers of the 7th Ecumenical Council,Τῶν ἁγ. Πατέρων τῆς Ζ΄ Οἰκουμενικῆς Συνόδου
DRS,Feast,3rd Sunday of Luke,Γ΄ Λουκᾶ
DRS,Feast,6th Sunday of Luke,ΣΤ΄ Λουκᾶ
DRS,Feast,5th Sunday of Luke,Κοσμᾶ & Δαμιανοῦ Ἀναργύρων
Special,Note,Daylight Savings Time ends Turn clocks back 1 hour,
DRS,Feast,7th Sunday of Luke,Ζ΄ Λουκᾶ
DRS,Feast,8th Sunday of Luke,H΄ Λουκᾶ
DRS,Feast,9th Sunday of Luke,Θ΄ Λουκᾶ
DRS,Feast,13th Sunday of Luke,IΓ΄ Λουκᾶ
DRS,Feast,10th Sunday of Luke,I΄ Λουκᾶ
DRS,Feast,Sunday of the Holy Ancestors of Christ,Τῶν Ἁγίων Προπατόρων
DRS,Feast,Sunday before Nativity,Πρὸ Χριστοῦ Γεννήσεως
Special,Note,Royal Hours,Μεγάλαι Ὧραι
Special,Note,Liturgy of St. Basil,Λειτουργία Μεγ. Βασιλείου
DRS,Feast,Sunday after Nativity,Μετὰ τὴν Χριστοῦ Γέννησιν
