PaschaOffset,Category,Type,English,Greek
-84,,Feast,12th Sunday of Luke,ΙΒ΄ Λουκᾶ
-77,,Feast,15th Sunday of Luke,ΙΕ΄ Λουκᾶ
-70,,Feast,Sunday of Publican & Pharisee (Triodion Begins),Τελώνου & Φαρισαίου (Ἀρχὴ Τριωδίου)
-63,,Feast,Sunday of the Prodigal Son,Τοῦ Ἀσώτου
-57,,Note,Soul Saturday,Ψυχοσάββατον
-56,,Feast,Meat-fare (Judgment) Sunday,Τῆς Ἀπόκρεω
-53,,Note,No Liturgy,Ἄνευ Λειτουργίας
-51,,Note,No Liturgy,Ἄνευ Λειτουργίας
-50,,Saint,Holy Fathers shone forth in ascetic life,Τῶν ἐν ἀσκήσει διαλαμψάντων ὁσίων
-49,,Feast,Cheese-fare (Forgiveness) Sunday,Τῆς Τυρινῆς
-48,,Note,Beginning of Lent,Ἀρχὴ νηστείας
-48,,Note,Clean Monday,Καθαρὰ Δευτέρα
-44,,Note,1st Salutations,Α΄ Χαιρετισμοί
-43,,Saint,The miracle of kollyva by St. Theodore the Recruit (Tyro),Τοῦ διὰ κολλύβων θαύματος ἁγ. Θεοδώρου τοῦ Τήρωνος
-42,,Feast,1st Sunday of Lent – of Orthodoxy,Α΄ Νηστειῶν – Τῆς Ὀρθοδοξίας
-37,,Note,2nd Salutations,Β΄ Χαιρετισμοί
-36,,Note,Soul Saturday,Ψυχοσάββατον
-35,,Feast,2nd Sunday of Lent – of St. Gregory Palamas,Β΄ Νηστειῶν – Ἁγ. Γρηγορίου τοῦ Παλαμᾶ
-29,,Note,Soul Saturday,Ψυχοσάββατον
-28,,Feast,3rd Sunday of Lent – Veneration of the Holy Cross,Γ΄ Νηστειῶν – Τῆς Σταυροπροσκυνήσεως
-23,,Note,4th Salutations,Δ΄ Χαιρετισμοί
-22,,Note,Soul Saturday,Ψυχοσάββατον
-21,,Feast,4th Sunday of Lent – of St. John of the Ladder,Δ΄ Νηστειῶν – Ἁγ. Ἰωάννου τῆς Κλίμακος
-17,,Note,Great Canon,Ὁ Μέγας Κανών
-15,,Feast,Akathist Hymn,Τοῦ Ἀκαθίστου Ὕμνου
-14,,Feast,5th Sunday of Lent–of St. Mary of Egypt,Ε΄ Νηστειῶν–Μαρίας τῆς Αἰγυπτίας
-8,,Feast,Lazarus Saturday,Τοῦ Λαζάρου
-7,,Feast,Palm Sunday,Τῶν Βαΐων
-6,,Feast,Holy Monday - Righteous Joseph,Μεγάλη Δευτέρα - Ἰωσὴφ τοῦ Παγκάλου
-5,,Feast,Holy Tuesday - Ten Virgins,Μεγάλη Τρίτη - Τῶν Δέκα Παρθένων
-4,,Feast,Holy Wednesday - Anointing of the Lord,Μεγάλη Τετάρτη - Τῆς ἀλειψάσης τὸν Κύριον
-3,,Feast,Holy Thursday - Mystical Supper,Μεγάλη Πέμπτη - Ὁ Μυστικὸς Δεῖπνος
-2,,Feast,Holy Friday - Holy Passion,Μεγάλη Παρασκευή - Τὰ Ἅγια Πάθη
-1,,Feast,Holy Saturday - Christ’s Descent into Hades,Μέγα Σάββατον - Ἡ εἰς Ἅδου Κάθοδος τοῦ Κυρίου
0,,Feast,Holy Pascha - The Resurrection of Christ,Τὸ Ἅγιον Πάσχα - Ἡ Ἀνάστασις τοῦ Κυρίου
1,,Feast,Bright Week,Διακαινησίμου
2,,Saint,"Martyrs Raphael, Nicholas & Irene of Lesbos","Ραφαήλ, Νικολάου & Εἰρήνης, νεοφανῶν μαρτύρων τῆς Λέσβου"
5,,Feast,The Life-Giving Spring,Τῆς Ζωοδόχου Πηγῆς
